,REPORTED_TERM,DESC_CODED,LLT_NAME_COMPL,PT_NAME_COMPL,HLT_NAME_COMPL,HLGT_NAME_COMPL,SOC_CODE,INC_CODE_J,ART_CODE,INC_CODE
34660,FIXED DRUG ERUPTION ASSOCIATED WITH PARACETAMOL INGESTION,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
34690,REACTIVATION OF HEPATITIS B,Hepatitis B reactivation,HEPATITIS B REACTIVATION,HEPATITIS B REACTIVATION,HEPATITIS VIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10058827,10058827,10058827
34693,RIVAROXABAN USED FOR SPLANCHNIC VEIN THROMBOSIS,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
34721,MULTIPLE ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
34748,"RETAIN OF PAIN (POSSIBLE LACK OF EFFICACY), OFF LABEL USE (FOR CARBAMAZEPINE)",product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
34764,SEVERE MULTIPLE ORGAN FAILURE FOLLOWING METFORMIN-ASSOCIATED LACTIC ACIDOSIS,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
34826,MULTIORGAN FAILURE DUE TO SEVERE PNEUMONIA,Multiple organ dysfunction syndrome,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
34830,EOSINOPHILIC GRANULOMATOUS VASCULITIS,Eosinophilic granulomatosis with polyangiitis,EOSINOPHILIC GRANULOMATOUS VASCULITIS,EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,VASCULITIDES,IMMUNE DISORDERS NEC,10021428,10014957,10078117,10014957
34971,REMISSION WITH TOPIRAMATE,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
34997,PRODUCT USE IN UNAPPROVED INDICATION,product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
35024,INTENTIONAL DOSE OMISSION,Intentional dose omission,INTENTIONAL DOSE OMISSION,INTENTIONAL DOSE OMISSION,INTENTIONAL PRODUCT USE ISSUES,OFF LABEL USES AND INTENTIONAL PRODUCT MISUSES/USE ISSUES,10022117,10079221,10079221,10079221
35029,PROGRESSION OF EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS FOLLOWING INADEQUATE TREATMENT,Eosinophilic granulomatosis with polyangiitis,EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,VASCULITIDES,IMMUNE DISORDERS NEC,10021428,10078117,10078117,10078117
35052,PROGRESS OF CKD STAGE 4 TO 5 DUE TO RITUXIMAB AND MYCOPHENOLATE MOFETIL USED FOR FOCAL SEGMENTAL GLOMERULAR SCLEROSIS (DRUG USE FOR UNAPPROVED INDICATION),Chronic kidney disease stage 5,CHRONIC KIDNEY DISEASE STAGE 5,END STAGE RENAL DISEASE,RENAL FAILURE AND IMPAIRMENT,RENAL DISORDERS (EXCL NEPHROPATHIES),10038359,10076412,10077512,10076412
35066,ULCERS ON BOTH PALATINE PILLARS,palatal ulcer,PALATAL ULCER,PALATAL ULCER,STOMATITIS AND ULCERATION,ORAL SOFT TISSUE CONDITIONS,10017947,10077519,10077519,10077519
35119,SUSPECT DRUGS USED FOR JUVENILE SYSTEMIC LUPUS ERYTHEMATOSUS,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
35164,PACLITAXEL USED FOR ANGIOMATOSIS,drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
35201,LESIONS IN THE NOSE AND NASOLABIAL REGION,nose injury,NOSE INJURY,NASAL INJURY,SITE SPECIFIC INJURIES NEC,INJURIES NEC,10022117,10054854,10078651,10054854
35234,MULTIORGAN FAILURE FOLLOWING GASTROINTESTINAL HISTOPLASMOSIS (ILEO-COLONIC HISTOPLASMOSIS),Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
35334,ADVANCED EMPD THAT WERE SUCCESSFULLY CONTROLLED BY DOCETAXEL WITH CISPLATIN,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
35375,DRUG INTERACTION BETWEEN ASPIRIN AND CLOPIDOGREL,Contraindicated product administered,CONTRAINDICATED DRUG ADMINISTERED,CONTRAINDICATED PRODUCT ADMINISTERED,PRODUCT ADMINISTRATION ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10074899,10078504,10074899
35383,MULTI-ORGAN FAILURE,Multi-organ failure,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
35423,DRUG EXPOSURE VIA BREAST MILK,Drug exposure via breast milk,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
35425,COMPLEX PARTIAL TYPE EPILEPTIC SEIZURES,Complex partial seizures,COMPLEX PARTIAL SEIZURES,FOCAL DYSCOGNITIVE SEIZURES,PARTIAL COMPLEX SEIZURES,SEIZURES (INCL SUBTYPES),10029205,10010145,10079424,10010145
35504,MULTIORGAN FAILURE FOLLOWING STEVENS-JOHNSON SYNDROME (SJS)/TOXIC EPIDERMAL NECROLYSIS (TEN),Multi-organ failure,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
35514,PRODUCT USE IN UNAPPROVED INDICATION,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
35563,TYPE 1 AUTOIMMUNE PANCREATITIS (AIP) WITH EXOCRINE INSUFFICIENCY,Pancreatic failure,PANCREATIC EXOCRINE INSUFFICIENCY,PANCREATIC FAILURE,PANCREATIC DISORDERS NEC,EXOCRINE PANCREAS CONDITIONS,10017947,10073392,10079281,10073392
35594,FIXED DRUG ERUPTION PARACETAMOL,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
35612,CRITICAL ILLNESS POLYNEUROPATHY,Critical illness polyneuropathy,CRITICAL ILLNESS POLYNEUROPATHY,INTENSIVE CARE UNIT ACQUIRED WEAKNESS,ACUTE POLYNEUROPATHIES,PERIPHERAL NEUROPATHIES,10029205,10066336,10077255,10066336
35718,MULTIPLE ORGAN DYSFUNCTION SYNDROME FOLLOWING SEPTIC SHOCK DUE TO ARDS AND INFLUENZA A H1N1 PNEUMONIA,Multiple organ dysfunction syndrome,MULTIPLE ORGAN DYSFUNCTION SYNDROME,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10077361,10077361,10077361
35731,"SEIZURES PERSISTED DESPITE TREATMENT WITH PHENOBARBITAL,LEVETIRACETAM, LORAZEPAM, CLONAZEPAM, PYRIDOXINE, AND FOLINIC ACID.",Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
35765,MULTIPLE ORGAN FAILURE FOLLOWING SEPTIC SHOCK DUE TO TOXIC AGRANULOCYTOSIS,multiple organ failure,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028237,10077361,10028237
35815,DEVELOPED POST-TREATMENT LYME DISEASE SYNDROME AFTER COMPLETION OF ANTIBIOTIC THERAPY,Post treatment Lyme disease syndrome,POST TREATMENT LYME DISEASE SYNDROME,POST TREATMENT LYME DISEASE SYNDROME,BORRELIAL INFECTIONS,BACTERIAL INFECTIOUS DISORDERS,10021881,10079060,10079060,10079060
35854,TRANSMAMMARY EXPOSURE TO METHADONE,transmammary exposure to methadone,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
35908,KERATIC PRECIPITATES,keratic precipitates,KERATIC PRECIPITATES,KERATIC PRECIPITATES,"CORNEAL STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","ANTERIOR EYE STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION",10015919,10053703,10053703,10053703
35925,HIV-1 PERSISTENT VIREMIA,HIV viraemia,HIV VIREMIA,HIV VIRAEMIA,RETROVIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10077716,10077716,10077718
36011,NON-KETOSIS HYPEROSMOLAR STATE FOLLOWING PENTAMIDINE-INDUCED DIABETES MELLITUS,Hyperglycaemic hyperosmolar nonketotic syndrome,HYPEROSMOLAR NON-KETOTIC HYPERGLYCAEMIA,HYPERGLYCAEMIC HYPEROSMOLAR NONKETOTIC SYNDROME,DIABETIC COMPLICATIONS NEUROLOGICAL,DIABETIC COMPLICATIONS,10027433,10079762,10063554,10079762
36066,MASKED FACE,Masked face,MASKED FACE,REDUCED FACIAL EXPRESSION,PARKINSON'S DISEASE AND PARKINSONISM,MOVEMENT DISORDERS (INCL PARKINSONISM),10029205,10026862,10078576,10026862
36097,ARIPIPRAZOLE USED FOR TREATMENT OF MAJOR DEPRESSION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
36112,WRONG PRODUCT STORED,Wrong product stored,WRONG PRODUCT STORED,WRONG PRODUCT STORED,PRODUCT STORAGE ERRORS AND ISSUES IN THE PRODUCT USE SYSTEM,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10080001,10080001,10080001
36160,REM BEHAVIOR DISORDER,REM sleep behavior disorder,REM SLEEP BEHAVIOR DISORDER,RAPID EYE MOVEMENT SLEEP BEHAVIOUR DISORDER,PARASOMNIAS,SLEEP DISORDERS AND DISTURBANCES,10037175,10078725,10077299,10078725
36169,DRAMATIC IMPACT ON HER FUNCTIONAL INDEPENDENCE,Loss of personal independence in daily activities,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,DISABILITY ISSUES,LIFESTYLE ISSUES,10041244,10079487,10079487,10079487
36185,"TREATMENT WAS SHIFTED TO ANOTHER SODIUM CHANNEL BLOCKER, FLECAINIDE,",Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
36218,HYDROXYCHLOROQUINE SULFATE USED FOR TREATMENT OF PULMONARY HEMOSIDEROSIS (UNAPPROVED INDICATION),Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
36223,"ULTRASONOGRAPHY OF ABDOMEN SUGGESTED GASEOUS ABDOMEN, FREE FLUID IN ABDOMEN, EDEMATOUS AND 9TO10MM THICKENED WALL OF ASCENDING COLON, TRANSVERSE COLON,DESCENDING COLON,SIGMOID COLON",Intra-abdominal fluid collection,INTRA-ABDOMINAL FLUID COLLECTION,INTRA-ABDOMINAL FLUID COLLECTION,PERITONEAL AND RETROPERITONEAL DISORDERS,PERITONEAL AND RETROPERITONEAL CONDITIONS,10017947,10078659,10078659,10078659
36290,"FLUDARABINE, IDARUBICIN AND G-CSF USED FOR MYELOID SARCOMA",Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
36354,DRUG USE FOR UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
36391,DRUG EXPOSURE VIA LACTATION WITH NO ADR,exposure via breast milk,EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10080751,10080751,10080751
36428,HBV REACTIVATION,Hepatitis B reactivation,HEPATITIS B REACTIVATION,HEPATITIS B REACTIVATION,HEPATITIS VIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10058827,10058827,10058827
36434,LEFT VENTRICULAR DILATION,Left ventricular dilatation,LEFT VENTRICULAR DILATATION,LEFT VENTRICULAR DILATATION,MYOCARDIAL DISORDERS NEC,MYOCARDIAL DISORDERS,10007541,10050043,10050043,10050043
36455,PIROXICAM-INDUCED FIXED DRUG ERUPTION,fixed drug eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
36639,HIV 1 PERSISTENT VIREMIA,HIV viraemia,HIV VIREMIA,HIV VIRAEMIA,RETROVIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10077716,10077716,10077718
36680,THERAPY NON-RESPONDER,Therapy non-responder,THERAPY NON-RESPONDER,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10051082,10051082,10051082
36760,PREDNISONE USED FOR ERYTHEMA NODOSUM LEPROSUM,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
36790,PHAEOHYPHOMYCOSIS DUE TO ALTERNARIA ALTERNATA,Phaeohyphomycosis,PHAEOHYPHOMYCOSIS,PHAEOHYPHOMYCOSIS,FUNGAL INFECTIONS NEC,FUNGAL INFECTIOUS DISORDERS,10021881,10080815,10080815,10080815
36792,FLUCLOXACILLIN FOR CHRONIC FOLLICULOCENTRIC PUSTULOSIS OF THE SCALP,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
36794,SINUS PAIN,Sinus pain,SINUS PAIN,SINUS PAIN,UPPER RESPIRATORY TRACT SIGNS AND SYMPTOMS,RESPIRATORY TRACT SIGNS AND SYMPTOMS,10038738,10040747,10040747,10040747
36993,CARDIAC DYSFUNCTION,cardiac dysfunction,CARDIAC DYSFUNCTION,CARDIAC DYSFUNCTION,CARDIAC DISORDERS NEC,CARDIAC DISORDER SIGNS AND SYMPTOMS,10007541,10079751,10079751,10079751
37018,END STAGE RENAL DISESASE,end stage renal disesase,END STAGE RENAL DISEASE,END STAGE RENAL DISEASE,RENAL FAILURE AND IMPAIRMENT,RENAL DISORDERS (EXCL NEPHROPATHIES),10038359,10077512,10077512,10077512
37060,TONGUE ERYTHEMA,Tongue erythema,TONGUE ERYTHEMA,TONGUE ERYTHEMA,TONGUE SIGNS AND SYMPTOMS,TONGUE CONDITIONS,10017947,10079075,10079075,10079075
37098,UNABLE TO WALK,Gait inability,UNABLE TO WALK,GAIT INABILITY,GAIT DISTURBANCES,GENERAL SYSTEM DISORDERS NEC,10018065,10017581,10017581,10049278
37131,SOUTHERN TICK-ASSOCIATED RASH ILLNESS,Southern tick-associated rash illness,SOUTHERN TICK-ASSOCIATED RASH ILLNESS,SOUTHERN TICK-ASSOCIATED RASH ILLNESS,INFECTIONS NEC,INFECTIONS - PATHOGEN UNSPECIFIED,10021881,10079029,10079029,10079029
37135,GENERALIZED BULLOUS FIXED DRUG ERUPTION (GBFDE),Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
37183,TABLET BACLOFEN 20 MG PER DAY WAS STARTED AS AN ANTI-CRAVING AGENT,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
37226,MULTIPLE ORGAN FAILURE FOLLOWING HISTOPLASMA CAPSULATUM INFECTION,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
37233,PULMONARY NOCARDIOSIS,Pulmonary nocardiosis,PULMONARY NOCARDIOSIS,PULMONARY NOCARDIOSIS,NOCARDIA INFECTIONS,BACTERIAL INFECTIOUS DISORDERS,10021881,10080435,10080435,10080435
37251,"NORMOCYTIC ANEMIA (RBC 3.4 M, HGB 10.9 G/DL, HCT 32.7%, MCV 96 FL, MCH 31.8 PG,)",Normocytic anemia,NORMOCYTIC ANEMIA,NORMOCYTIC ANAEMIA,ANAEMIAS NEC,ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION,10005329,10029785,10029784,10029785
37282,HYPOMIMIA,Reduced facial expression,REDUCED FACIAL EXPRESSION,REDUCED FACIAL EXPRESSION,PARKINSON'S DISEASE AND PARKINSONISM,MOVEMENT DISORDERS (INCL PARKINSONISM),10029205,10078576,10078576,10078576
37308,"SPINE COMPRESSION AT T8,10, 12 AND L5",Spinal flattening,LUMBAR SPINE FLATTENING,SPINAL FLATTENING,SPINE AND NECK DEFORMITIES,MUSCULOSKELETAL AND CONNECTIVE TISSUE DEFORMITIES (INCL INTERVERTEBRAL DISC DISORDERS),10028395,10051823,10077756,10051823
37328,RETINA THICKENED DUE TO OCULAR LYMPHOMA,Retinal thickening,RETINAL THICKENING,RETINAL THICKENING,"RETINAL STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","OCULAR STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION NEC",10015919,10077890,10077890,10077890
37351,MYCOPHENOLATE USED FOR LIVER TRANSPLANT,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
37395,HER EYELID WAS STILL SWOLLEN 1 MONTH AFTER THE INCISION AND CURETTAGE SO A SUBPALPEBRAL CONJUNCTIVA TA INJECTION (2 MG/0.05 ML),Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
37396,EXPOSURE VIA BREAST MILK,Exposure via breast milk,EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10080751,10080751,10080751
37417,LIVER FUNCTION TEST INCREASED,Liver function test increased,LIVER FUNCTION TEST INCREASED,LIVER FUNCTION TEST INCREASED,LIVER FUNCTION ANALYSES,HEPATOBILIARY INVESTIGATIONS,10022891,10077692,10077692,10077692
37419,"ABNORMAL SIGNAL IN THE SUBCORTICAL OCCIPITOPARIETAL WHITE MATTER AND MORE CONFLUENT AREAS OF SIGNAL HYPERINTENSITY IN THE BIHEMISPHERIC FRONTAL REGION, THALAMUS AND CEREBELLAR HEMISPHERES",Hyperintensity in brain deep nuclei,HYPERINTENSITY IN BRAIN DEEP NUCLEI,HYPERINTENSITY IN BRAIN DEEP NUCLEI,STRUCTURAL BRAIN DISORDERS NEC,STRUCTURAL BRAIN DISORDERS,10029205,10079392,10079392,10079392
37525,MULTI ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028151
37533,CEFUROXIME USED FOR TREATMENT OF SEPSIS,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
37545,NORMOCYTIC ANEMIA,normocytic anemia,NORMOCYTIC ANEMIA,NORMOCYTIC ANAEMIA,ANAEMIAS NEC,ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION,10005329,10029785,10029784,10029785
37554,CARDIAC FUNCTION DECREASED,Cardiac dysfunction,CARDIAC DYSFUNCTION,CARDIAC DYSFUNCTION,CARDIAC DISORDERS NEC,CARDIAC DISORDER SIGNS AND SYMPTOMS,10007541,10079751,10079751,10079751
37568,NORMOCYTIC ANEMIA,Normocytic anaemia,NORMOCYTIC ANEMIA,NORMOCYTIC ANAEMIA,ANAEMIAS NEC,ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION,10005329,10029784,10029784,10029785
37589,DRUG EXPOSURE VIA LACTATION WITH NO ADVERSE EVENT,Drug exposure via breast milk,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
37595,HIV 1 PERSISTENT VIREMIA,HIV viraemia,HIV VIREMIA,HIV VIRAEMIA,RETROVIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10077716,10077716,10077718
37604,INABILITY TO PERFORM DAILY CHORES,Loss of personal independence in daily activities,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,DISABILITY ISSUES,LIFESTYLE ISSUES,10041244,10079487,10079487,10079487
37662,LIGHT MICROSCOPY REVEALED ACUTE TUBULAR INJURY,Renal tubular injury,RENAL TUBULAR INJURY,RENAL TUBULAR INJURY,RENAL VASCULAR AND ISCHAEMIC CONDITIONS,RENAL DISORDERS (EXCL NEPHROPATHIES),10038359,10078933,10078933,10078933
37734,JC VIRUS TEST POSITIVE (CSF 50000 COPY/MIC L),JC polyomavirus test positive,JC VIRUS TEST POSITIVE,JC POLYOMAVIRUS TEST POSITIVE,VIRUS IDENTIFICATION AND SEROLOGY,MICROBIOLOGY AND SEROLOGY INVESTIGATIONS,10022891,10068795,10070356,10068795
37741,HYPERSENSITIVITY MYOCARDITIS,Hypersensitivity myocarditis,HYPERSENSITIVITY MYOCARDITIS,HYPERSENSITIVITY MYOCARDITIS,NONINFECTIOUS MYOCARDITIS,MYOCARDIAL DISORDERS,10007541,10081004,10081004,10081004
37777,PARTIAL RESPONSE,Therapy partial responder,PARTIAL RESPONDER TO THERAPY,THERAPY PARTIAL RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10078115,10078115,10066429
37863,MULTIORGANFAILURE,Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
